time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,throttle_rc
1137553829025395,track,335253,True,,,-0.284375,-0.4375,0.9465182713583327,-0.0,-1.0110408357946257,0.6,5.25,12.307692307692308,0.4,0.7,350.0,1644
1137553848973174,track,335253,True,,,-0.284375,-0.4375,0.9465182713583327,-0.0,-1.0110408357946257,0.68,5.29,12.307692307692308,0.4,0.7,350.0,1643
1137553868975519,track,335254,True,,,-0.2703125,-0.44166666666666665,0.9536765024712743,-0.0,-1.0205613046046047,0.68,5.29,12.307692307692308,0.4,0.7,350.0,1643
1137553889028737,track,335255,True,,,-0.253125,-0.44583333333333336,0.9631594003428441,-0.0,-1.0300668123136814,0.68,5.29,12.307692307692308,0.4,0.7,350.0,1643
1137553908999839,track,335255,True,,,-0.253125,-0.44583333333333336,0.9631594003428441,-0.0,-1.0300668123136814,0.71,5.31,12.307692307692308,0.4,0.7,350.0,1643
1137553929028300,track,335256,True,,,-0.2328125,-0.45208333333333334,0.9701979917147311,-0.0,-1.0442968677781397,0.71,5.31,12.307692307692308,0.4,0.7,350.0,1643
1137553948993878,track,335256,True,,,-0.2328125,-0.45208333333333334,0.9701979917147311,-0.0,-1.0442968677781397,0.71,5.31,12.307692307692308,0.4,0.7,350.0,1643
1137553968981892,track,335257,True,,,-0.2125,-0.45416666666666666,0.9840096920803428,-0.0,-1.0490326635228726,0.71,5.31,12.307692307692308,0.4,0.7,350.0,1643
1137553988993619,track,335258,True,,,-0.190625,-0.4583333333333333,0.9931835392478748,-0.0,-1.0584928703554293,0.71,5.31,12.307692307692308,0.4,0.7,350.0,1643
1137554009042924,track,335258,True,,,-0.190625,-0.4583333333333333,0.9931835392478748,-0.0,-1.0584928703554293,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554029036054,track,335259,True,,,-0.1671875,-0.4583333333333333,1.0103271630466824,-0.0,-1.0584928703554293,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554049008937,track,335259,True,,,-0.1671875,-0.4583333333333333,1.0103271630466824,-0.0,-1.0584928703554293,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554069007802,track,335260,True,,,-0.1453125,-0.4583333333333333,1.0245263043846962,-0.0,-1.0584928703554293,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554089041364,track,335261,True,,,-0.1203125,-0.45625,1.0430761511142261,-0.0,-1.0537646671505545,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554108983465,track,335261,True,,,-0.1203125,-0.45625,1.0430761511142261,-0.0,-1.0537646671505545,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554129036226,track,335262,True,,,-0.0953125,-0.45416666666666666,1.0592565857472844,-0.0,-1.0490326635228726,0.75,5.35,12.307692307692308,0.4,0.7,350.0,1642
1137554149022969,track,335262,True,,,-0.0953125,-0.45416666666666666,1.0592565857472844,-0.0,-1.0490326635228726,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554169042263,track,335263,True,,,-0.0734375,-0.45,1.076607412172486,-0.0,-1.0395572883163595,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554189054554,track,335264,True,,,-0.0515625,-0.44583333333333336,1.09204660868703,-0.0,-1.0300668123136814,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554208966901,track,335264,True,,,-0.0515625,-0.44583333333333336,1.09204660868703,-0.0,-1.0300668123136814,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554229011282,track,335265,True,,,-0.0328125,-0.44375,1.1003184772275532,-0.0,-1.0253159330451664,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554249056302,track,335266,True,,,-0.0140625,-0.44166666666666665,1.1070353646949265,-0.0,-1.0205613046046047,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554269026349,track,335266,True,,,-0.0140625,-0.44166666666666665,1.1070353646949265,-0.0,-1.0205613046046047,0.81,5.41,12.307692307692308,0.4,0.7,350.0,1641
1137554289021467,track,335267,True,,,0.0015625,-0.4395833333333333,1.1122072150810112,-0.0,-1.015802935865079,0.89,5.48,12.307692307692308,0.4,0.7,350.0,1641
1137554309040639,track,335267,True,,,0.0015625,-0.4395833333333333,1.1122072150810112,-0.0,-1.015802935865079,0.89,5.48,12.307692307692308,0.4,0.7,350.0,1641
1137554329055851,track,335268,True,,,0.0171875,-0.4395833333333333,1.1115341157681533,-0.0,-1.015802935865079,0.89,5.48,11.851851851851851,-0.5,0.8,339.0,1641
1137554349043486,track,335269,True,,,0.028125,-0.4395833333333333,1.1103966149798539,-0.0,-1.015802935865079,0.89,5.48,11.851851851851851,-0.5,0.8,339.0,1641
1137554369014226,track,335269,True,,,0.028125,-0.4395833333333333,1.1103966149798539,-0.0,-1.015802935865079,0.89,5.48,11.851851851851851,-0.5,0.8,339.0,1641
1137554389038034,track,335270,True,,,0.0375,-0.44166666666666665,1.1042778085850165,-0.0,-1.0205613046046047,0.89,5.48,11.851851851851851,-0.5,0.8,339.0,1641
1137554409048335,track,335270,True,,,0.0375,-0.44166666666666665,1.1042778085850165,-0.0,-1.0205613046046047,0.89,5.48,11.851851851851851,-0.5,0.8,339.0,1641
1137554429011910,track,335271,True,,,0.0421875,-0.44375,1.0987248517242911,-0.0,-1.0253159330451664,0.98,5.55,11.851851851851851,-0.5,0.8,339.0,1640
1137554449016964,track,335272,True,,,0.0453125,-0.4479166666666667,1.088713658958202,-0.0,-1.0348139336319129,0.98,5.55,11.851851851851851,-0.5,0.8,339.0,1640
1137554468996253,track,335272,True,,,0.0453125,-0.4479166666666667,1.088713658958202,-0.0,-1.0348139336319129,0.98,5.55,11.851851851851851,-0.5,0.8,339.0,1640
1137554488971012,track,335273,True,,,0.0484375,-0.45208333333333334,1.0786803755185308,-0.0,-1.0442968677781397,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554508966023,track,335273,True,,,0.0484375,-0.45208333333333334,1.0786803755185308,-0.0,-1.0442968677781397,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554528984227,track,335274,True,,,0.0453125,-0.4583333333333333,1.0652701466186723,-0.0,-1.0584928703554293,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554548996267,track,335275,True,,,0.0390625,-0.46458333333333335,1.052366230084222,-0.0,-1.072654595786558,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
