time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,yaw_rate_setpoint_dps,yaw_rc,throttle_rc
1141394113561003,track,450886,True,,,-0.140625,-0.6083333333333333,1.7693527156994189,1.4324270138215793,-2.354605436227797,-0.59,4.68,5.925925925925926,0.2,1.7,339.0,-1.4475,1489,1638
1141394133552130,track,450887,True,,,-0.1515625,-0.6041666666666666,1.7786479827936978,0.9310775589840266,-2.3407352188797947,-0.59,4.68,5.925925925925926,0.2,1.7,339.0,-1.5787499999999999,1488,1638
1141394153536229,track,450887,True,,,-0.1515625,-0.6041666666666666,1.7786479827936978,0.9310775589840266,-2.3407352188797947,-0.59,4.68,5.925925925925926,0.2,1.7,339.0,-1.5787499999999999,1488,1638
1141394173539213,track,450888,True,,,-0.1609375,-0.6083333333333333,1.7457072426294604,0.6052004133396173,-2.354605436227797,-0.68,4.62,5.925925925925926,0.2,1.7,339.0,-1.6912500000000001,1487,1640
1141394193554564,track,450889,True,,,-0.16875,-0.61875,1.6822172059956833,0.39338026867075127,-2.3890986525888156,-0.68,4.62,5.925925925925926,0.2,1.7,339.0,-1.7850000000000001,1487,1640
1141394213526633,track,450889,True,,,-0.16875,-0.61875,1.6822172059956833,0.39338026867075127,-2.3890986525888156,-0.68,4.62,5.925925925925926,0.2,1.7,339.0,-1.7850000000000001,1487,1640
1141394233547046,track,450890,True,,,-0.1765625,-0.6333333333333333,1.5976280499828064,0.25569717463598834,-2.436950739508105,-0.68,4.62,5.925925925925926,0.2,1.7,339.0,-1.8787500000000001,1486,1640
1141394253537169,track,450890,True,,,-0.1765625,-0.6333333333333333,1.5976280499828064,0.25569717463598834,-2.436950739508105,-0.68,4.62,5.925925925925926,0.2,1.7,339.0,-1.8787500000000001,1486,1640
1141394273555664,track,450891,True,,,-0.1859375,-0.6520833333333333,1.4904762125541007,0.16620316351339243,-2.4977216726414886,-0.82,4.54,5.818181818181818,0.2,1.7,339.0,-1.9912500000000002,1485,1640
1141394293540381,track,450892,True,,,-0.190625,-0.6729166666666667,1.3799780749401749,1.2065797659205153,-2.564249654156343,-0.82,4.54,5.714285714285714,0.2,1.7,339.0,-2.0475,1485,1640
