local_time,elapsed_s,sample_source,phase,state,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_roll_pwm,joystick_pitch_pwm,joystick_throttle_pwm,joystick_yaw_pwm,output_roll_pwm,output_pitch_pwm,output_throttle_pwm,output_yaw_pwm,altitude_error_m,pitch_target_deg,pitch_error_deg
2026-08-06T16:58:12.241+03:00,1.826032,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.256+03:00,1.841577,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.256+03:00,1.841730,ATTITUDE,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.257+03:00,1.841952,RC_CHANNELS,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.287+03:00,1.872609,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.293+03:00,1.878000,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.339+03:00,1.924053,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.385+03:00,1.970060,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.390+03:00,1.975445,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.442+03:00,2.026987,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.489+03:00,2.074688,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.490+03:00,2.074938,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.541+03:00,2.126155,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.587+03:00,2.172262,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.592+03:00,2.177754,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.644+03:00,2.229331,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
